boss,region,tier,chunks
Amoxliatl,Varlamore,mid-game,"chunk_11_1, chunk_11_2, chunk_11_3, chunk_11_4, chunk_11_5, chunk_12_1, chunk_12_2, chunk_12_3, chunk_12_4, chunk_12_5, chunk_12_6, chunk_12_7, chunk_12_8, chunk_13_1, chunk_13_2, chunk_13_3, chunk_13_4, chunk_13_5, chunk_13_6, chunk_13_7, chunk_13_8, chunk_13_9, chunk_13_10, chunk_14_2, chunk_14_3, chunk_14_4, chunk_14_5, chunk_14_6, chunk_14_7, chunk_14_8, chunk_14_9, chunk_14_10, chunk_15_2, chunk_15_3, chunk_15_4, chunk_15_5, chunk_15_6, chunk_15_7, chunk_15_8, chunk_15_9, chunk_15_10, chunk_15_11, chunk_15_12, chunk_16_2, chunk_16_3, chunk_16_4, chunk_16_5, chunk_16_6, chunk_16_7, chunk_16_8, chunk_16_9, chunk_16_10, chunk_16_11, chunk_16_12, chunk_16_13, chunk_17_3, chunk_17_4, chunk_17_5, chunk_17_6, chunk_17_7, chunk_17_8, chunk_17_9, chunk_17_10, chunk_17_11, chunk_17_12, chunk_18_3, chunk_18_4, chunk_18_5, chunk_18_6, chunk_18_7, chunk_18_8, chunk_18_9, chunk_18_10, chunk_18_11, chunk_19_4, chunk_19_5, chunk_19_6, chunk_19_7, chunk_19_8, chunk_19_9, chunk_19_10, chunk_19_11, chunk_20_5, chunk_20_6"
Hueycoatl,Varlamore,mid-game,"chunk_11_1, chunk_11_2, chunk_11_3, chunk_11_4, chunk_11_5, chunk_12_1, chunk_12_2, chunk_12_3, chunk_12_4, chunk_12_5, chunk_12_6, chunk_12_7, chunk_12_8, chunk_13_1, chunk_13_2, chunk_13_3, chunk_13_4, chunk_13_5, chunk_13_6, chunk_13_7, chunk_13_8, chunk_13_9, chunk_13_10, chunk_14_2, chunk_14_3, chunk_14_4, chunk_14_5, chunk_14_6, chunk_14_7, chunk_14_8, chunk_14_9, chunk_14_10, chunk_15_2, chunk_15_3, chunk_15_4, chunk_15_5, chunk_15_6, chunk_15_7, chunk_15_8, chunk_15_9, chunk_15_10, chunk_15_11, chunk_15_12, chunk_16_2, chunk_16_3, chunk_16_4, chunk_16_5, chunk_16_6, chunk_16_7, chunk_16_8, chunk_16_9, chunk_16_10, chunk_16_11, chunk_16_12, chunk_16_13, chunk_17_3, chunk_17_4, chunk_17_5, chunk_17_6, chunk_17_7, chunk_17_8, chunk_17_9, chunk_17_10, chunk_17_11, chunk_17_12, chunk_18_3, chunk_18_4, chunk_18_5, chunk_18_6, chunk_18_7, chunk_18_8, chunk_18_9, chunk_18_10, chunk_18_11, chunk_19_4, chunk_19_5, chunk_19_6, chunk_19_7, chunk_19_8, chunk_19_9, chunk_19_10, chunk_19_11, chunk_20_5, chunk_20_6"
Perilous moons,Varlamore,mid-game,"chunk_11_1, chunk_11_2, chunk_11_3, chunk_11_4, chunk_11_5, chunk_12_1, chunk_12_2, chunk_12_3, chunk_12_4, chunk_12_5, chunk_12_6, chunk_12_7, chunk_12_8, chunk_13_1, chunk_13_2, chunk_13_3, chunk_13_4, chunk_13_5, chunk_13_6, chunk_13_7, chunk_13_8, chunk_13_9, chunk_13_10, chunk_14_2, chunk_14_3, chunk_14_4, chunk_14_5, chunk_14_6, chunk_14_7, chunk_14_8, chunk_14_9, chunk_14_10, chunk_15_2, chunk_15_3, chunk_15_4, chunk_15_5, chunk_15_6, chunk_15_7, chunk_15_8, chunk_15_9, chunk_15_10, chunk_15_11, chunk_15_12, chunk_16_2, chunk_16_3, chunk_16_4, chunk_16_5, chunk_16_6, chunk_16_7, chunk_16_8, chunk_16_9, chunk_16_10, chunk_16_11, chunk_16_12, chunk_16_13, chunk_17_3, chunk_17_4, chunk_17_5, chunk_17_6, chunk_17_7, chunk_17_8, chunk_17_9, chunk_17_10, chunk_17_11, chunk_17_12, chunk_18_3, chunk_18_4, chunk_18_5, chunk_18_6, chunk_18_7, chunk_18_8, chunk_18_9, chunk_18_10, chunk_18_11, chunk_19_4, chunk_19_5, chunk_19_6, chunk_19_7, chunk_19_8, chunk_19_9, chunk_19_10, chunk_19_11, chunk_20_5, chunk_20_6"
Vardorvis,Varlamore,late-game,"chunk_11_1, chunk_11_2, chunk_11_3, chunk_11_4, chunk_11_5, chunk_12_1, chunk_12_2, chunk_12_3, chunk_12_4, chunk_12_5, chunk_12_6, chunk_12_7, chunk_12_8, chunk_13_1, chunk_13_2, chunk_13_3, chunk_13_4, chunk_13_5, chunk_13_6, chunk_13_7, chunk_13_8, chunk_13_9, chunk_13_10, chunk_14_2, chunk_14_3, chunk_14_4, chunk_14_5, chunk_14_6, chunk_14_7, chunk_14_8, chunk_14_9, chunk_14_10, chunk_15_2, chunk_15_3, chunk_15_4, chunk_15_5, chunk_15_6, chunk_15_7, chunk_15_8, chunk_15_9, chunk_15_10, chunk_15_11, chunk_15_12, chunk_16_2, chunk_16_3, chunk_16_4, chunk_16_5, chunk_16_6, chunk_16_7, chunk_16_8, chunk_16_9, chunk_16_10, chunk_16_11, chunk_16_12, chunk_16_13, chunk_17_3, chunk_17_4, chunk_17_5, chunk_17_6, chunk_17_7, chunk_17_8, chunk_17_9, chunk_17_10, chunk_17_11, chunk_17_12, chunk_18_3, chunk_18_4, chunk_18_5, chunk_18_6, chunk_18_7, chunk_18_8, chunk_18_9, chunk_18_10, chunk_18_11, chunk_19_4, chunk_19_5, chunk_19_6, chunk_19_7, chunk_19_8, chunk_19_9, chunk_19_10, chunk_19_11, chunk_20_5, chunk_20_6"
Doom of mokhiaotl,Varlamore,end-game,"chunk_11_1, chunk_11_2, chunk_11_3, chunk_11_4, chunk_11_5, chunk_12_1, chunk_12_2, chunk_12_3, chunk_12_4, chunk_12_5, chunk_12_6, chunk_12_7, chunk_12_8, chunk_13_1, chunk_13_2, chunk_13_3, chunk_13_4, chunk_13_5, chunk_13_6, chunk_13_7, chunk_13_8, chunk_13_9, chunk_13_10, chunk_14_2, chunk_14_3, chunk_14_4, chunk_14_5, chunk_14_6, chunk_14_7, chunk_14_8, chunk_14_9, chunk_14_10, chunk_15_2, chunk_15_3, chunk_15_4, chunk_15_5, chunk_15_6, chunk_15_7, chunk_15_8, chunk_15_9, chunk_15_10, chunk_15_11, chunk_15_12, chunk_16_2, chunk_16_3, chunk_16_4, chunk_16_5, chunk_16_6, chunk_16_7, chunk_16_8, chunk_16_9, chunk_16_10, chunk_16_11, chunk_16_12, chunk_16_13, chunk_17_3, chunk_17_4, chunk_17_5, chunk_17_6, chunk_17_7, chunk_17_8, chunk_17_9, chunk_17_10, chunk_17_11, chunk_17_12, chunk_18_3, chunk_18_4, chunk_18_5, chunk_18_6, chunk_18_7, chunk_18_8, chunk_18_9, chunk_18_10, chunk_18_11, chunk_19_4, chunk_19_5, chunk_19_6, chunk_19_7, chunk_19_8, chunk_19_9, chunk_19_10, chunk_19_11, chunk_20_5, chunk_20_6"
Sol heredit,Varlamore,end-game,"chunk_11_1, chunk_11_2, chunk_11_3, chunk_11_4, chunk_11_5, chunk_12_1, chunk_12_2, chunk_12_3, chunk_12_4, chunk_12_5, chunk_12_6, chunk_12_7, chunk_12_8, chunk_13_1, chunk_13_2, chunk_13_3, chunk_13_4, chunk_13_5, chunk_13_6, chunk_13_7, chunk_13_8, chunk_13_9, chunk_13_10, chunk_14_2, chunk_14_3, chunk_14_4, chunk_14_5, chunk_14_6, chunk_14_7, chunk_14_8, chunk_14_9, chunk_14_10, chunk_15_2, chunk_15_3, chunk_15_4, chunk_15_5, chunk_15_6, chunk_15_7, chunk_15_8, chunk_15_9, chunk_15_10, chunk_15_11, chunk_15_12, chunk_16_2, chunk_16_3, chunk_16_4, chunk_16_5, chunk_16_6, chunk_16_7, chunk_16_8, chunk_16_9, chunk_16_10, chunk_16_11, chunk_16_12, chunk_16_13, chunk_17_3, chunk_17_4, chunk_17_5, chunk_17_6, chunk_17_7, chunk_17_8, chunk_17_9, chunk_17_10, chunk_17_11, chunk_17_12, chunk_18_3, chunk_18_4, chunk_18_5, chunk_18_6, chunk_18_7, chunk_18_8, chunk_18_9, chunk_18_10, chunk_18_11, chunk_19_4, chunk_19_5, chunk_19_6, chunk_19_7, chunk_19_8, chunk_19_9, chunk_19_10, chunk_19_11, chunk_20_5, chunk_20_6"
Crazy archaeologist,Wilderness,early-game,"chunk_3_30, chunk_3_31, chunk_3_32, chunk_3_33, chunk_3_34, chunk_3_35, chunk_3_36, chunk_4_30, chunk_4_31, chunk_4_32, chunk_4_33, chunk_4_34, chunk_4_35, chunk_4_36, chunk_5_30, chunk_5_31, chunk_5_32, chunk_5_33, chunk_5_34, chunk_5_35, chunk_5_36, chunk_6_30, chunk_6_31, chunk_6_32, chunk_6_33, chunk_6_34, chunk_6_35, chunk_6_36, chunk_7_30, chunk_7_31, chunk_7_32, chunk_7_33, chunk_7_34, chunk_7_35, chunk_7_36, chunk_8_30, chunk_8_31, chunk_8_32, chunk_8_33, chunk_8_34, chunk_8_35, chunk_8_36, chunk_9_30, chunk_9_31, chunk_9_32, chunk_9_33, chunk_9_34, chunk_9_35, chunk_9_36"
Chaos fanatic,Wilderness,early-game,"chunk_3_30, chunk_3_31, chunk_3_32, chunk_3_33, chunk_3_34, chunk_3_35, chunk_3_36, chunk_4_30, chunk_4_31, chunk_4_32, chunk_4_33, chunk_4_34, chunk_4_35, chunk_4_36, chunk_5_30, chunk_5_31, chunk_5_32, chunk_5_33, chunk_5_34, chunk_5_35, chunk_5_36, chunk_6_30, chunk_6_31, chunk_6_32, chunk_6_33, chunk_6_34, chunk_6_35, chunk_6_36, chunk_7_30, chunk_7_31, chunk_7_32, chunk_7_33, chunk_7_34, chunk_7_35, chunk_7_36, chunk_8_30, chunk_8_31, chunk_8_32, chunk_8_33, chunk_8_34, chunk_8_35, chunk_8_36, chunk_9_30, chunk_9_31, chunk_9_32, chunk_9_33, chunk_9_34, chunk_9_35, chunk_9_36"
Chaos elemental,Wilderness,mid-game,"chunk_3_30, chunk_3_31, chunk_3_32, chunk_3_33, chunk_3_34, chunk_3_35, chunk_3_36, chunk_4_30, chunk_4_31, chunk_4_32, chunk_4_33, chunk_4_34, chunk_4_35, chunk_4_36, chunk_5_30, chunk_5_31, chunk_5_32, chunk_5_33, chunk_5_34, chunk_5_35, chunk_5_36, chunk_6_30, chunk_6_31, chunk_6_32, chunk_6_33, chunk_6_34, chunk_6_35, chunk_6_36, chunk_7_30, chunk_7_31, chunk_7_32, chunk_7_33, chunk_7_34, chunk_7_35, chunk_7_36, chunk_8_30, chunk_8_31, chunk_8_32, chunk_8_33, chunk_8_34, chunk_8_35, chunk_8_36, chunk_9_30, chunk_9_31, chunk_9_32, chunk_9_33, chunk_9_34, chunk_9_35, chunk_9_36"
Venenatis,Wilderness,mid-game,"chunk_3_30, chunk_3_31, chunk_3_32, chunk_3_33, chunk_3_34, chunk_3_35, chunk_3_36, chunk_4_30, chunk_4_31, chunk_4_32, chunk_4_33, chunk_4_34, chunk_4_35, chunk_4_36, chunk_5_30, chunk_5_31, chunk_5_32, chunk_5_33, chunk_5_34, chunk_5_35, chunk_5_36, chunk_6_30, chunk_6_31, chunk_6_32, chunk_6_33, chunk_6_34, chunk_6_35, chunk_6_36, chunk_7_30, chunk_7_31, chunk_7_32, chunk_7_33, chunk_7_34, chunk_7_35, chunk_7_36, chunk_8_30, chunk_8_31, chunk_8_32, chunk_8_33, chunk_8_34, chunk_8_35, chunk_8_36, chunk_9_30, chunk_9_31, chunk_9_32, chunk_9_33, chunk_9_34, chunk_9_35, chunk_9_36"
Vet'ion,Wilderness,mid-game,"chunk_3_30, chunk_3_31, chunk_3_32, chunk_3_33, chunk_3_34, chunk_3_35, chunk_3_36, chunk_4_30, chunk_4_31, chunk_4_32, chunk_4_33, chunk_4_34, chunk_4_35, chunk_4_36, chunk_5_30, chunk_5_31, chunk_5_32, chunk_5_33, chunk_5_34, chunk_5_35, chunk_5_36, chunk_6_30, chunk_6_31, chunk_6_32, chunk_6_33, chunk_6_34, chunk_6_35, chunk_6_36, chunk_7_30, chunk_7_31, chunk_7_32, chunk_7_33, chunk_7_34, chunk_7_35, chunk_7_36, chunk_8_30, chunk_8_31, chunk_8_32, chunk_8_33, chunk_8_34, chunk_8_35, chunk_8_36, chunk_9_30, chunk_9_31, chunk_9_32, chunk_9_33, chunk_9_34, chunk_9_35, chunk_9_36"
King black dragon,Wilderness,mid-game,"chunk_3_30, chunk_3_31, chunk_3_32, chunk_3_33, chunk_3_34, chunk_3_35, chunk_3_36, chunk_4_30, chunk_4_31, chunk_4_32, chunk_4_33, chunk_4_34, chunk_4_35, chunk_4_36, chunk_5_30, chunk_5_31, chunk_5_32, chunk_5_33, chunk_5_34, chunk_5_35, chunk_5_36, chunk_6_30, chunk_6_31, chunk_6_32, chunk_6_33, chunk_6_34, chunk_6_35, chunk_6_36, chunk_7_30, chunk_7_31, chunk_7_32, chunk_7_33, chunk_7_34, chunk_7_35, chunk_7_36, chunk_8_30, chunk_8_31, chunk_8_32, chunk_8_33, chunk_8_34, chunk_8_35, chunk_8_36, chunk_9_30, chunk_9_31, chunk_9_32, chunk_9_33, chunk_9_34, chunk_9_35, chunk_9_36"
Scorpia,Wilderness,mid-game,"chunk_3_30, chunk_3_31, chunk_3_32, chunk_3_33, chunk_3_34, chunk_3_35, chunk_3_36, chunk_4_30, chunk_4_31, chunk_4_32, chunk_4_33, chunk_4_34, chunk_4_35, chunk_4_36, chunk_5_30, chunk_5_31, chunk_5_32, chunk_5_33, chunk_5_34, chunk_5_35, chunk_5_36, chunk_6_30, chunk_6_31, chunk_6_32, chunk_6_33, chunk_6_34, chunk_6_35, chunk_6_36, chunk_7_30, chunk_7_31, chunk_7_32, chunk_7_33, chunk_7_34, chunk_7_35, chunk_7_36, chunk_8_30, chunk_8_31, chunk_8_32, chunk_8_33, chunk_8_34, chunk_8_35, chunk_8_36, chunk_9_30, chunk_9_31, chunk_9_32, chunk_9_33, chunk_9_34, chunk_9_35, chunk_9_36"
Callisto,Wilderness,mid-game,"chunk_3_30, chunk_3_31, chunk_3_32, chunk_3_33, chunk_3_34, chunk_3_35, chunk_3_36, chunk_4_30, chunk_4_31, chunk_4_32, chunk_4_33, chunk_4_34, chunk_4_35, chunk_4_36, chunk_5_30, chunk_5_31, chunk_5_32, chunk_5_33, chunk_5_34, chunk_5_35, chunk_5_36, chunk_6_30, chunk_6_31, chunk_6_32, chunk_6_33, chunk_6_34, chunk_6_35, chunk_6_36, chunk_7_30, chunk_7_31, chunk_7_32, chunk_7_33, chunk_7_34, chunk_7_35, chunk_7_36, chunk_8_30, chunk_8_31, chunk_8_32, chunk_8_33, chunk_8_34, chunk_8_35, chunk_8_36, chunk_9_30, chunk_9_31, chunk_9_32, chunk_9_33, chunk_9_34, chunk_9_35, chunk_9_36"
Corporeal beast,Wilderness,late-game,"chunk_3_30, chunk_3_31, chunk_3_32, chunk_3_33, chunk_3_34, chunk_3_35, chunk_3_36, chunk_4_30, chunk_4_31, chunk_4_32, chunk_4_33, chunk_4_34, chunk_4_35, chunk_4_36, chunk_5_30, chunk_5_31, chunk_5_32, chunk_5_33, chunk_5_34, chunk_5_35, chunk_5_36, chunk_6_30, chunk_6_31, chunk_6_32, chunk_6_33, chunk_6_34, chunk_6_35, chunk_6_36, chunk_7_30, chunk_7_31, chunk_7_32, chunk_7_33, chunk_7_34, chunk_7_35, chunk_7_36, chunk_8_30, chunk_8_31, chunk_8_32, chunk_8_33, chunk_8_34, chunk_8_35, chunk_8_36, chunk_9_30, chunk_9_31, chunk_9_32, chunk_9_33, chunk_9_34, chunk_9_35, chunk_9_36"
