boss,boss_image_reference,region,tier,chunks
Scurrius,Scurrius,Misthalin,introductory,"chunk_18_17, chunk_18_16, chunk_19_16, chunk_20_16, chunk_19_17, chunk_20_17, chunk_18_18, chunk_19_18, chunk_20_18, chunk_21_17, chunk_21_18, chunk_18_19, chunk_18_20, chunk_19_19, chunk_19_20, chunk_20_19, chunk_20_20, chunk_21_20, chunk_21_19, chunk_10_32, chunk_10_33, chunk_10_34, chunk_10_35, chunk_10_36, chunk_10_37, chunk_11_32, chunk_11_33, chunk_11_34, chunk_11_35, chunk_11_36, chunk_12_32, chunk_12_33, chunk_12_34, chunk_12_35, chunk_12_36, chunk_13_32, chunk_13_33, chunk_13_34, chunk_14_32, chunk_14_33, chunk_14_34, chunk_15_32, chunk_15_33, chunk_15_34"
Deranged archaeologist,Deranged_archaeologist,Misthalin,mid-game,"chunk_4_40, chunk_4_41, chunk_4_42, chunk_4_43, chunk_5_40, chunk_5_41, chunk_5_42, chunk_5_43, chunk_6_40, chunk_6_41, chunk_6_42, chunk_6_43, chunk_7_41, chunk_7_42, chunk_18_17, chunk_18_16, chunk_19_16, chunk_20_16, chunk_19_17, chunk_20_17, chunk_18_18, chunk_19_18, chunk_20_18, chunk_21_17, chunk_21_18, chunk_18_19, chunk_18_20, chunk_19_19, chunk_19_20, chunk_20_19, chunk_20_20, chunk_21_20, chunk_21_19, chunk_10_32, chunk_10_33, chunk_10_34, chunk_10_35, chunk_10_36, chunk_10_37, chunk_11_32, chunk_11_33, chunk_11_34, chunk_11_35, chunk_11_36, chunk_12_32, chunk_12_33, chunk_12_34, chunk_12_35, chunk_12_36, chunk_13_32, chunk_13_33, chunk_13_34, chunk_14_32, chunk_14_33, chunk_14_34, chunk_15_32, chunk_15_33, chunk_15_34"
Barrows,Barrows,Morytania,early-game,"chunk_8_40, chunk_18_40, chunk_17_40, chunk_8_38, chunk_8_39, chunk_17_41, chunk_19_42, chunk_19_40, chunk_18_41, chunk_19_41, chunk_17_42, chunk_18_42, chunk_18_42, chunk_19_44, chunk_20_43, chunk_17_43, chunk_18_43, chunk_19_43, chunk_18_44, chunk_17_44, chunk_8_37, chunk_9_37, chunk_9_38, chunk_9_39, chunk_9_40, chunk_9_41, chunk_10_37, chunk_10_38, chunk_10_39, chunk_10_40, chunk_10_41, chunk_11_37, chunk_11_38, chunk_11_39, chunk_11_40, chunk_11_41, chunk_11_42, chunk_12_37, chunk_12_38, chunk_12_39, chunk_12_40, chunk_12_41, chunk_12_42, chunk_13_37, chunk_13_38, chunk_13_39, chunk_13_40, chunk_13_41, chunk_13_42, chunk_14_37, chunk_14_38, chunk_14_39, chunk_14_40, chunk_14_41, chunk_14_42, chunk_15_38, chunk_15_39, chunk_15_40, chunk_15_41, chunk_15_42"
Verzik vitur,Theatre_of_Blood,Morytania,late-game,"chunk_8_40, chunk_17_41, chunk_19_42, chunk_18_40, chunk_17_40, chunk_8_38, chunk_8_39, chunk_19_40, chunk_18_41, chunk_19_41, chunk_17_42, chunk_18_42, chunk_18_42, chunk_19_44, chunk_20_43, chunk_17_43, chunk_18_43, chunk_19_43, chunk_18_44, chunk_17_44, chunk_8_37, chunk_9_37, chunk_9_38, chunk_9_39, chunk_9_40, chunk_9_41, chunk_10_37, chunk_10_38, chunk_10_39, chunk_10_40, chunk_10_41, chunk_11_37, chunk_11_38, chunk_11_39, chunk_11_40, chunk_11_41, chunk_11_42, chunk_12_37, chunk_12_38, chunk_12_39, chunk_12_40, chunk_12_41, chunk_12_42, chunk_13_37, chunk_13_38, chunk_13_39, chunk_13_40, chunk_13_41, chunk_13_42, chunk_14_37, chunk_14_38, chunk_14_39, chunk_14_40, chunk_14_41, chunk_14_42, chunk_15_38, chunk_15_39, chunk_15_40, chunk_15_41, chunk_15_42"
The nightmare,The_Nightmare,Morytania,end-game,"chunk_17_41, chunk_8_40, chunk_18_41, chunk_19_42, chunk_19_41, chunk_17_42, chunk_18_42, chunk_18_40, chunk_19_40, chunk_17_40, chunk_8_38, chunk_8_39, chunk_18_42, chunk_20_43, chunk_19_44, chunk_17_43, chunk_18_43, chunk_19_43, chunk_18_44, chunk_17_44, chunk_8_37, chunk_9_37, chunk_9_38, chunk_9_39, chunk_9_40, chunk_9_41, chunk_10_37, chunk_10_38, chunk_10_39, chunk_10_40, chunk_10_41, chunk_11_37, chunk_11_38, chunk_11_39, chunk_11_40, chunk_11_41, chunk_11_42, chunk_12_37, chunk_12_38, chunk_12_39, chunk_12_40, chunk_12_41, chunk_12_42, chunk_13_37, chunk_13_38, chunk_13_39, chunk_13_40, chunk_13_41, chunk_13_42, chunk_14_37, chunk_14_38, chunk_14_39, chunk_14_40, chunk_14_41, chunk_14_42, chunk_15_38, chunk_15_39, chunk_15_40, chunk_15_41, chunk_15_42"
Zalcano,Zalcano,Tirannwn,mid-game,"chunk_11_16, chunk_11_17, chunk_11_18, chunk_11_19, chunk_11_20, chunk_12_16, chunk_12_17, chunk_12_18, chunk_12_19, chunk_12_20, chunk_13_16, chunk_13_17, chunk_13_18, chunk_13_19, chunk_13_20, chunk_13_21, chunk_14_16, chunk_14_17, chunk_14_18, chunk_14_19, chunk_14_20, chunk_14_21, chunk_15_16, chunk_15_17, chunk_15_18, chunk_15_19, chunk_15_20, chunk_15_21, chunk_16_16, chunk_16_17, chunk_16_18, chunk_16_19, chunk_16_20, chunk_17_16, chunk_17_17, chunk_17_18, chunk_17_19"
Zulrah,Zulrah,Tirannwn,mid-game,"chunk_11_16, chunk_11_17, chunk_11_18, chunk_11_19, chunk_11_20, chunk_12_16, chunk_12_17, chunk_12_18, chunk_12_19, chunk_12_20, chunk_13_16, chunk_13_17, chunk_13_18, chunk_13_19, chunk_13_20, chunk_13_21, chunk_14_16, chunk_14_17, chunk_14_18, chunk_14_19, chunk_14_20, chunk_14_21, chunk_15_16, chunk_15_17, chunk_15_18, chunk_15_19, chunk_15_20, chunk_15_21, chunk_16_16, chunk_16_17, chunk_16_18, chunk_16_19, chunk_16_20, chunk_17_16, chunk_17_17, chunk_17_18, chunk_17_19"
Gauntlet,Crystalline_Hunllef,Tirannwn,late-game,"chunk_11_16, chunk_11_17, chunk_11_18, chunk_11_19, chunk_11_20, chunk_12_16, chunk_12_17, chunk_12_18, chunk_12_19, chunk_12_20, chunk_13_16, chunk_13_17, chunk_13_18, chunk_13_19, chunk_13_20, chunk_13_21, chunk_14_16, chunk_14_17, chunk_14_18, chunk_14_19, chunk_14_20, chunk_14_21, chunk_15_16, chunk_15_17, chunk_15_18, chunk_15_19, chunk_15_20, chunk_15_21, chunk_16_16, chunk_16_17, chunk_16_18, chunk_16_19, chunk_16_20, chunk_17_16, chunk_17_17, chunk_17_18, chunk_17_19"
Corrupted gauntlet,Corrupted_Hunllef,Tirannwn,late-game,"chunk_11_16, chunk_11_17, chunk_11_18, chunk_11_19, chunk_11_20, chunk_12_16, chunk_12_17, chunk_12_18, chunk_12_19, chunk_12_20, chunk_13_16, chunk_13_17, chunk_13_18, chunk_13_19, chunk_13_20, chunk_13_21, chunk_14_16, chunk_14_17, chunk_14_18, chunk_14_19, chunk_14_20, chunk_14_21, chunk_15_16, chunk_15_17, chunk_15_18, chunk_15_19, chunk_15_20, chunk_15_21, chunk_16_16, chunk_16_17, chunk_16_18, chunk_16_19, chunk_16_20, chunk_17_16, chunk_17_17, chunk_17_18, chunk_17_19"
Amoxliatl,Amoxliatl,Varlamore,mid-game,"chunk_11_6, chunk_11_1, chunk_11_2, chunk_11_3, chunk_11_4, chunk_11_5, chunk_12_1, chunk_12_2, chunk_12_3, chunk_12_4, chunk_12_5, chunk_12_6, chunk_12_7, chunk_12_8, chunk_13_1, chunk_13_2, chunk_13_3, chunk_13_4, chunk_13_5, chunk_13_6, chunk_13_7, chunk_13_8, chunk_13_9, chunk_13_10, chunk_14_2, chunk_14_3, chunk_14_4, chunk_14_5, chunk_14_6, chunk_14_7, chunk_14_8, chunk_14_9, chunk_14_10, chunk_15_2, chunk_15_3, chunk_15_4, chunk_15_5, chunk_15_6, chunk_15_7, chunk_15_8, chunk_15_9, chunk_15_10, chunk_15_11, chunk_15_12, chunk_16_2, chunk_16_3, chunk_16_4, chunk_16_5, chunk_16_6, chunk_16_7, chunk_16_8, chunk_16_9, chunk_16_10, chunk_16_11, chunk_16_12, chunk_16_13, chunk_17_3, chunk_17_4, chunk_17_5, chunk_17_6, chunk_17_7, chunk_17_8, chunk_17_9, chunk_17_10, chunk_17_11, chunk_17_12, chunk_18_3, chunk_18_4, chunk_18_5, chunk_18_6, chunk_18_7, chunk_18_8, chunk_18_9, chunk_18_10, chunk_18_11, chunk_19_4, chunk_19_5, chunk_19_6, chunk_19_7, chunk_19_8, chunk_19_9, chunk_19_10, chunk_19_11, chunk_20_5, chunk_20_6"
Hueycoatl,The_Hueycoatl,Varlamore,mid-game,"chunk_11_6, chunk_11_1, chunk_11_2, chunk_11_3, chunk_11_4, chunk_11_5, chunk_12_1, chunk_12_2, chunk_12_3, chunk_12_4, chunk_12_5, chunk_12_6, chunk_12_7, chunk_12_8, chunk_13_1, chunk_13_2, chunk_13_3, chunk_13_4, chunk_13_5, chunk_13_6, chunk_13_7, chunk_13_8, chunk_13_9, chunk_13_10, chunk_14_2, chunk_14_3, chunk_14_4, chunk_14_5, chunk_14_6, chunk_14_7, chunk_14_8, chunk_14_9, chunk_14_10, chunk_15_2, chunk_15_3, chunk_15_4, chunk_15_5, chunk_15_6, chunk_15_7, chunk_15_8, chunk_15_9, chunk_15_10, chunk_15_11, chunk_15_12, chunk_16_2, chunk_16_3, chunk_16_4, chunk_16_5, chunk_16_6, chunk_16_7, chunk_16_8, chunk_16_9, chunk_16_10, chunk_16_11, chunk_16_12, chunk_16_13, chunk_17_3, chunk_17_4, chunk_17_5, chunk_17_6, chunk_17_7, chunk_17_8, chunk_17_9, chunk_17_10, chunk_17_11, chunk_17_12, chunk_18_3, chunk_18_4, chunk_18_5, chunk_18_6, chunk_18_7, chunk_18_8, chunk_18_9, chunk_18_10, chunk_18_11, chunk_19_4, chunk_19_5, chunk_19_6, chunk_19_7, chunk_19_8, chunk_19_9, chunk_19_10, chunk_19_11, chunk_20_5, chunk_20_6"
Perilous moons,Moons_of_peril,Varlamore,mid-game,"chunk_11_6, chunk_11_1, chunk_11_2, chunk_11_3, chunk_11_4, chunk_11_5, chunk_12_1, chunk_12_2, chunk_12_3, chunk_12_4, chunk_12_5, chunk_12_6, chunk_12_7, chunk_12_8, chunk_13_1, chunk_13_2, chunk_13_3, chunk_13_4, chunk_13_5, chunk_13_6, chunk_13_7, chunk_13_8, chunk_13_9, chunk_13_10, chunk_14_2, chunk_14_3, chunk_14_4, chunk_14_5, chunk_14_6, chunk_14_7, chunk_14_8, chunk_14_9, chunk_14_10, chunk_15_2, chunk_15_3, chunk_15_4, chunk_15_5, chunk_15_6, chunk_15_7, chunk_15_8, chunk_15_9, chunk_15_10, chunk_15_11, chunk_15_12, chunk_16_2, chunk_16_3, chunk_16_4, chunk_16_5, chunk_16_6, chunk_16_7, chunk_16_8, chunk_16_9, chunk_16_10, chunk_16_11, chunk_16_12, chunk_16_13, chunk_17_3, chunk_17_4, chunk_17_5, chunk_17_6, chunk_17_7, chunk_17_8, chunk_17_9, chunk_17_10, chunk_17_11, chunk_17_12, chunk_18_3, chunk_18_4, chunk_18_5, chunk_18_6, chunk_18_7, chunk_18_8, chunk_18_9, chunk_18_10, chunk_18_11, chunk_19_4, chunk_19_5, chunk_19_6, chunk_19_7, chunk_19_8, chunk_19_9, chunk_19_10, chunk_19_11, chunk_20_5, chunk_20_6"
Vardorvis,Vardorvis,Varlamore,late-game,"chunk_11_6, chunk_11_1, chunk_11_2, chunk_11_3, chunk_11_4, chunk_11_5, chunk_12_1, chunk_12_2, chunk_12_3, chunk_12_4, chunk_12_5, chunk_12_6, chunk_12_7, chunk_12_8, chunk_13_1, chunk_13_2, chunk_13_3, chunk_13_4, chunk_13_5, chunk_13_6, chunk_13_7, chunk_13_8, chunk_13_9, chunk_13_10, chunk_14_2, chunk_14_3, chunk_14_4, chunk_14_5, chunk_14_6, chunk_14_7, chunk_14_8, chunk_14_9, chunk_14_10, chunk_15_2, chunk_15_3, chunk_15_4, chunk_15_5, chunk_15_6, chunk_15_7, chunk_15_8, chunk_15_9, chunk_15_10, chunk_15_11, chunk_15_12, chunk_16_2, chunk_16_3, chunk_16_4, chunk_16_5, chunk_16_6, chunk_16_7, chunk_16_8, chunk_16_9, chunk_16_10, chunk_16_11, chunk_16_12, chunk_16_13, chunk_17_3, chunk_17_4, chunk_17_5, chunk_17_6, chunk_17_7, chunk_17_8, chunk_17_9, chunk_17_10, chunk_17_11, chunk_17_12, chunk_18_3, chunk_18_4, chunk_18_5, chunk_18_6, chunk_18_7, chunk_18_8, chunk_18_9, chunk_18_10, chunk_18_11, chunk_19_4, chunk_19_5, chunk_19_6, chunk_19_7, chunk_19_8, chunk_19_9, chunk_19_10, chunk_19_11, chunk_20_5, chunk_20_6"
Doom of mokhiaotl,Doom_of_Mokhaiotl,Varlamore,end-game,"chunk_11_6, chunk_11_1, chunk_11_2, chunk_11_3, chunk_11_4, chunk_11_5, chunk_12_1, chunk_12_2, chunk_12_3, chunk_12_4, chunk_12_5, chunk_12_6, chunk_12_7, chunk_12_8, chunk_13_1, chunk_13_2, chunk_13_3, chunk_13_4, chunk_13_5, chunk_13_6, chunk_13_7, chunk_13_8, chunk_13_9, chunk_13_10, chunk_14_2, chunk_14_3, chunk_14_4, chunk_14_5, chunk_14_6, chunk_14_7, chunk_14_8, chunk_14_9, chunk_14_10, chunk_15_2, chunk_15_3, chunk_15_4, chunk_15_5, chunk_15_6, chunk_15_7, chunk_15_8, chunk_15_9, chunk_15_10, chunk_15_11, chunk_15_12, chunk_16_2, chunk_16_3, chunk_16_4, chunk_16_5, chunk_16_6, chunk_16_7, chunk_16_8, chunk_16_9, chunk_16_10, chunk_16_11, chunk_16_12, chunk_16_13, chunk_17_3, chunk_17_4, chunk_17_5, chunk_17_6, chunk_17_7, chunk_17_8, chunk_17_9, chunk_17_10, chunk_17_11, chunk_17_12, chunk_18_3, chunk_18_4, chunk_18_5, chunk_18_6, chunk_18_7, chunk_18_8, chunk_18_9, chunk_18_10, chunk_18_11, chunk_19_4, chunk_19_5, chunk_19_6, chunk_19_7, chunk_19_8, chunk_19_9, chunk_19_10, chunk_19_11, chunk_20_5, chunk_20_6"
Sol heredit,Fortis_Colosseum,Varlamore,end-game,"chunk_11_6, chunk_11_1, chunk_11_2, chunk_11_3, chunk_11_4, chunk_11_5, chunk_12_1, chunk_12_2, chunk_12_3, chunk_12_4, chunk_12_5, chunk_12_6, chunk_12_7, chunk_12_8, chunk_13_1, chunk_13_2, chunk_13_3, chunk_13_4, chunk_13_5, chunk_13_6, chunk_13_7, chunk_13_8, chunk_13_9, chunk_13_10, chunk_14_2, chunk_14_3, chunk_14_4, chunk_14_5, chunk_14_6, chunk_14_7, chunk_14_8, chunk_14_9, chunk_14_10, chunk_15_2, chunk_15_3, chunk_15_4, chunk_15_5, chunk_15_6, chunk_15_7, chunk_15_8, chunk_15_9, chunk_15_10, chunk_15_11, chunk_15_12, chunk_16_2, chunk_16_3, chunk_16_4, chunk_16_5, chunk_16_6, chunk_16_7, chunk_16_8, chunk_16_9, chunk_16_10, chunk_16_11, chunk_16_12, chunk_16_13, chunk_17_3, chunk_17_4, chunk_17_5, chunk_17_6, chunk_17_7, chunk_17_8, chunk_17_9, chunk_17_10, chunk_17_11, chunk_17_12, chunk_18_3, chunk_18_4, chunk_18_5, chunk_18_6, chunk_18_7, chunk_18_8, chunk_18_9, chunk_18_10, chunk_18_11, chunk_19_4, chunk_19_5, chunk_19_6, chunk_19_7, chunk_19_8, chunk_19_9, chunk_19_10, chunk_19_11, chunk_20_5, chunk_20_6"
Crazy archaeologist,Crazy_archaeologist,Wilderness,early-game,"chunk_2_32, chunk_2_30, chunk_2_33, chunk_2_34, chunk_2_35, chunk_2_36, chunk_2_37, chunk_7_37, chunk_6_37, chunk_5_37, chunk_4_37, chunk_3_37, chunk_2_31, chunk_3_30, chunk_3_31, chunk_3_32, chunk_3_33, chunk_3_34, chunk_3_35, chunk_3_36, chunk_4_30, chunk_4_31, chunk_4_32, chunk_4_33, chunk_4_34, chunk_4_35, chunk_4_36, chunk_5_30, chunk_5_31, chunk_5_32, chunk_5_33, chunk_5_34, chunk_5_35, chunk_5_36, chunk_6_30, chunk_6_31, chunk_6_32, chunk_6_33, chunk_6_34, chunk_6_35, chunk_6_36, chunk_7_30, chunk_7_31, chunk_7_32, chunk_7_33, chunk_7_34, chunk_7_35, chunk_7_36, chunk_8_30, chunk_8_31, chunk_8_32, chunk_8_33, chunk_8_34, chunk_8_35, chunk_8_36, chunk_9_30, chunk_9_31, chunk_9_32, chunk_9_33, chunk_9_34, chunk_9_35, chunk_9_36"
Chaos fanatic,Chaos_Fanatic,Wilderness,early-game,"chunk_2_32, chunk_2_30, chunk_2_33, chunk_2_34, chunk_2_35, chunk_2_36, chunk_2_37, chunk_7_37, chunk_6_37, chunk_5_37, chunk_4_37, chunk_3_37, chunk_2_31, chunk_3_30, chunk_3_31, chunk_3_32, chunk_3_33, chunk_3_34, chunk_3_35, chunk_3_36, chunk_4_30, chunk_4_31, chunk_4_32, chunk_4_33, chunk_4_34, chunk_4_35, chunk_4_36, chunk_5_30, chunk_5_31, chunk_5_32, chunk_5_33, chunk_5_34, chunk_5_35, chunk_5_36, chunk_6_30, chunk_6_31, chunk_6_32, chunk_6_33, chunk_6_34, chunk_6_35, chunk_6_36, chunk_7_30, chunk_7_31, chunk_7_32, chunk_7_33, chunk_7_34, chunk_7_35, chunk_7_36, chunk_8_30, chunk_8_31, chunk_8_32, chunk_8_33, chunk_8_34, chunk_8_35, chunk_8_36, chunk_9_30, chunk_9_31, chunk_9_32, chunk_9_33, chunk_9_34, chunk_9_35, chunk_9_36"
Chaos elemental,Chaos_Elemental,Wilderness,mid-game,"chunk_2_32, chunk_2_30, chunk_2_33, chunk_2_34, chunk_2_35, chunk_2_36, chunk_2_37, chunk_7_37, chunk_6_37, chunk_5_37, chunk_4_37, chunk_3_37, chunk_2_31, chunk_3_30, chunk_3_31, chunk_3_32, chunk_3_33, chunk_3_34, chunk_3_35, chunk_3_36, chunk_4_30, chunk_4_31, chunk_4_32, chunk_4_33, chunk_4_34, chunk_4_35, chunk_4_36, chunk_5_30, chunk_5_31, chunk_5_32, chunk_5_33, chunk_5_34, chunk_5_35, chunk_5_36, chunk_6_30, chunk_6_31, chunk_6_32, chunk_6_33, chunk_6_34, chunk_6_35, chunk_6_36, chunk_7_30, chunk_7_31, chunk_7_32, chunk_7_33, chunk_7_34, chunk_7_35, chunk_7_36, chunk_8_30, chunk_8_31, chunk_8_32, chunk_8_33, chunk_8_34, chunk_8_35, chunk_8_36, chunk_9_30, chunk_9_31, chunk_9_32, chunk_9_33, chunk_9_34, chunk_9_35, chunk_9_36"
Venenatis,Venenatis,Wilderness,mid-game,"chunk_2_32, chunk_2_30, chunk_2_33, chunk_2_34, chunk_2_35, chunk_2_36, chunk_2_37, chunk_7_37, chunk_6_37, chunk_5_37, chunk_4_37, chunk_3_37, chunk_2_31, chunk_3_30, chunk_3_31, chunk_3_32, chunk_3_33, chunk_3_34, chunk_3_35, chunk_3_36, chunk_4_30, chunk_4_31, chunk_4_32, chunk_4_33, chunk_4_34, chunk_4_35, chunk_4_36, chunk_5_30, chunk_5_31, chunk_5_32, chunk_5_33, chunk_5_34, chunk_5_35, chunk_5_36, chunk_6_30, chunk_6_31, chunk_6_32, chunk_6_33, chunk_6_34, chunk_6_35, chunk_6_36, chunk_7_30, chunk_7_31, chunk_7_32, chunk_7_33, chunk_7_34, chunk_7_35, chunk_7_36, chunk_8_30, chunk_8_31, chunk_8_32, chunk_8_33, chunk_8_34, chunk_8_35, chunk_8_36, chunk_9_30, chunk_9_31, chunk_9_32, chunk_9_33, chunk_9_34, chunk_9_35, chunk_9_36"
Vet'ion,Vetion,Wilderness,mid-game,"chunk_2_32, chunk_2_30, chunk_2_33, chunk_2_34, chunk_2_35, chunk_2_36, chunk_2_37, chunk_7_37, chunk_6_37, chunk_5_37, chunk_4_37, chunk_3_37, chunk_2_31, chunk_3_30, chunk_3_31, chunk_3_32, chunk_3_33, chunk_3_34, chunk_3_35, chunk_3_36, chunk_4_30, chunk_4_31, chunk_4_32, chunk_4_33, chunk_4_34, chunk_4_35, chunk_4_36, chunk_5_30, chunk_5_31, chunk_5_32, chunk_5_33, chunk_5_34, chunk_5_35, chunk_5_36, chunk_6_30, chunk_6_31, chunk_6_32, chunk_6_33, chunk_6_34, chunk_6_35, chunk_6_36, chunk_7_30, chunk_7_31, chunk_7_32, chunk_7_33, chunk_7_34, chunk_7_35, chunk_7_36, chunk_8_30, chunk_8_31, chunk_8_32, chunk_8_33, chunk_8_34, chunk_8_35, chunk_8_36, chunk_9_30, chunk_9_31, chunk_9_32, chunk_9_33, chunk_9_34, chunk_9_35, chunk_9_36"
King black dragon,King_Black_Dragon,Wilderness,mid-game,"chunk_2_32, chunk_2_30, chunk_2_33, chunk_2_34, chunk_2_35, chunk_2_36, chunk_2_37, chunk_7_37, chunk_6_37, chunk_5_37, chunk_4_37, chunk_3_37, chunk_2_31, chunk_3_30, chunk_3_31, chunk_3_32, chunk_3_33, chunk_3_34, chunk_3_35, chunk_3_36, chunk_4_30, chunk_4_31, chunk_4_32, chunk_4_33, chunk_4_34, chunk_4_35, chunk_4_36, chunk_5_30, chunk_5_31, chunk_5_32, chunk_5_33, chunk_5_34, chunk_5_35, chunk_5_36, chunk_6_30, chunk_6_31, chunk_6_32, chunk_6_33, chunk_6_34, chunk_6_35, chunk_6_36, chunk_7_30, chunk_7_31, chunk_7_32, chunk_7_33, chunk_7_34, chunk_7_35, chunk_7_36, chunk_8_30, chunk_8_31, chunk_8_32, chunk_8_33, chunk_8_34, chunk_8_35, chunk_8_36, chunk_9_30, chunk_9_31, chunk_9_32, chunk_9_33, chunk_9_34, chunk_9_35, chunk_9_36"
Scorpia,Scorpia,Wilderness,mid-game,"chunk_2_32, chunk_2_30, chunk_2_33, chunk_2_34, chunk_2_35, chunk_2_36, chunk_2_37, chunk_7_37, chunk_6_37, chunk_5_37, chunk_4_37, chunk_3_37, chunk_2_31, chunk_3_30, chunk_3_31, chunk_3_32, chunk_3_33, chunk_3_34, chunk_3_35, chunk_3_36, chunk_4_30, chunk_4_31, chunk_4_32, chunk_4_33, chunk_4_34, chunk_4_35, chunk_4_36, chunk_5_30, chunk_5_31, chunk_5_32, chunk_5_33, chunk_5_34, chunk_5_35, chunk_5_36, chunk_6_30, chunk_6_31, chunk_6_32, chunk_6_33, chunk_6_34, chunk_6_35, chunk_6_36, chunk_7_30, chunk_7_31, chunk_7_32, chunk_7_33, chunk_7_34, chunk_7_35, chunk_7_36, chunk_8_30, chunk_8_31, chunk_8_32, chunk_8_33, chunk_8_34, chunk_8_35, chunk_8_36, chunk_9_30, chunk_9_31, chunk_9_32, chunk_9_33, chunk_9_34, chunk_9_35, chunk_9_36"
Callisto,Callisto,Wilderness,mid-game,"chunk_2_32, chunk_2_30, chunk_2_33, chunk_2_34, chunk_2_35, chunk_2_36, chunk_2_37, chunk_7_37, chunk_6_37, chunk_5_37, chunk_4_37, chunk_3_37, chunk_2_31, chunk_3_30, chunk_3_31, chunk_3_32, chunk_3_33, chunk_3_34, chunk_3_35, chunk_3_36, chunk_4_30, chunk_4_31, chunk_4_32, chunk_4_33, chunk_4_34, chunk_4_35, chunk_4_36, chunk_5_30, chunk_5_31, chunk_5_32, chunk_5_33, chunk_5_34, chunk_5_35, chunk_5_36, chunk_6_30, chunk_6_31, chunk_6_32, chunk_6_33, chunk_6_34, chunk_6_35, chunk_6_36, chunk_7_30, chunk_7_31, chunk_7_32, chunk_7_33, chunk_7_34, chunk_7_35, chunk_7_36, chunk_8_30, chunk_8_31, chunk_8_32, chunk_8_33, chunk_8_34, chunk_8_35, chunk_8_36, chunk_9_30, chunk_9_31, chunk_9_32, chunk_9_33, chunk_9_34, chunk_9_35, chunk_9_36"
Corporeal beast,Corporeal_Beast,Wilderness,late-game,"chunk_2_32, chunk_2_30, chunk_2_33, chunk_2_34, chunk_2_35, chunk_2_36, chunk_2_37, chunk_7_37, chunk_6_37, chunk_5_37, chunk_4_37, chunk_3_37, chunk_2_31, chunk_3_30, chunk_3_31, chunk_3_32, chunk_3_33, chunk_3_34, chunk_3_35, chunk_3_36, chunk_4_30, chunk_4_31, chunk_4_32, chunk_4_33, chunk_4_34, chunk_4_35, chunk_4_36, chunk_5_30, chunk_5_31, chunk_5_32, chunk_5_33, chunk_5_34, chunk_5_35, chunk_5_36, chunk_6_30, chunk_6_31, chunk_6_32, chunk_6_33, chunk_6_34, chunk_6_35, chunk_6_36, chunk_7_30, chunk_7_31, chunk_7_32, chunk_7_33, chunk_7_34, chunk_7_35, chunk_7_36, chunk_8_30, chunk_8_31, chunk_8_32, chunk_8_33, chunk_8_34, chunk_8_35, chunk_8_36, chunk_9_30, chunk_9_31, chunk_9_32, chunk_9_33, chunk_9_34, chunk_9_35, chunk_9_36"
