Monster;Reference_to_boss_images;Tier;Type;HasSlayerRequirement;RequiresGroup;Combat_achievement_name;Description
Duke Sucellus;Duke_Sucellus; Elite;Kill Count;No;No;Duke Sucellus Adept;Kill Duke Sucellus once.
Duke Sucellus;Duke_Sucellus; Elite;Speed;No;No;Duke Sucellus Speed-Trialist;Kill Duke Sucellus in less than 1:00 minutes without a slayer task.
Duke Sucellus;Duke_Sucellus; Master;Speed;No;No;Duke Sucellus Speed-Chaser;Kill Duke Sucellus in less than 50 seconds without a slayer task.
Duke Sucellus;Duke_Sucellus; Master;Perfection;No;No;Perfect Duke Sucellus;Kill Duke Sucellus without taking any avoidable damage 5 times without leaving.
Duke Sucellus;Duke_Sucellus; Master;Restriction;No;No;Cold Feet;Kill Duke Sucellus without taking any avoidable damage, whilst also never running.
Duke Sucellus;Duke_Sucellus; Master;Kill Count;No;No;Duke Sucellus Master;Kill Duke Sucellus 50 times.
Duke Sucellus;Duke_Sucellus; Grandmaster;Kill Count;No;No;Duke Sucellus Sleeper;Kill Awakened Duke Sucellus.
Duke Sucellus;Duke_Sucellus; Grandmaster;Speed;No;No;Duke Sucellus Speed-Runner;Kill Duke Sucellus in less than 40 seconds without a slayer task.
Duke Sucellus;Duke_Sucellus; Grandmaster;Restriction;No;No;Mirror Image;Kill Duke Sucellus whilst only attacking the boss on the same tick Duke attacks you.
Fire Giant;Fire_giant; Easy;Kill Count;No;No;The Walking Volcano;Kill a Fire Giant.
Fortis Colosseum;Fortis_Colosseum; Elite;Perfection;No;No;Furball;Complete Wave 4 without taking avoidable damage from a Manticore.
Fortis Colosseum;Fortis_Colosseum; Elite;Mechanical;No;No;Denied;Complete Wave 7 without the Minotaur ever healing other enemies.
Fortis Colosseum;Fortis_Colosseum; Elite;Mechanical;No;No;I was here first!;Kill a Jaguar Warrior using a Claw-type weapon special attack.
Fortis Colosseum;Fortis_Colosseum; Master;Speed;No;No;Colosseum Speed-Chaser;Complete the Colosseum with a total time of 28:00 or less.
Fortis Colosseum;Fortis_Colosseum; Master;Mechanical;No;No;Showboating;Defeat Sol Heredit after using Fortis Salute to the north, east, south and west of the arena while he is below 10% hitpoints.
Fortis Colosseum;Fortis_Colosseum; Master;Mechanical;No;No;One-off;Complete Wave 11 with either 'Red Flag', 'Dynamic Duo', or 'Doom II' active.
Fortis Colosseum;Fortis_Colosseum; Master;Kill Count;No;No;Sportsmanship;Defeat Sol Heredit once.
Fortis Colosseum;Fortis_Colosseum; Master;Restriction;No;No;I Brought Mine Too;Defeat Sol Heredit using only a Spear, Hasta or Halberd.
Fortis Colosseum;Fortis_Colosseum; Grandmaster;Speed;No;No;Colosseum Speed-Runner;Complete the Colosseum with a total time of 24:00 or less.
Fortis Colosseum;Fortis_Colosseum; Grandmaster;Kill Count;No;No;Colosseum Grand Champion;Defeat Sol Heredit 10 times.
Fortis Colosseum;Fortis_Colosseum; Grandmaster;Mechanical;No;No;Reinforcements;"Defeat Sol Heredit with ""Bees II"", ""Quartet"" and ""Solarflare II"" modifiers active."
Fortis Colosseum;Fortis_Colosseum; Grandmaster;Restriction;No;No;Slow Dancing in the Sand;Defeat Sol Heredit without running during the fight with him.
Fortis Colosseum;Fortis_Colosseum; Grandmaster;Perfection;No;No;Perfect Footwork;Defeat Sol Heredit without taking any damage from his Spear, Shield, Grapple or Triple Attack.
Fragment of Seren;Fragment_of_Seren; Elite;Speed;No;No;Fragment of Seren Speed-Trialist;Kill The Fragment of Seren in less than 4 minutes.
Galvek;Galvek; Elite;Speed;No;No;Galvek Speed-Trialist;Kill Galvek in less than 3 minutes.
Gargoyle;Gargoyle; Medium;Kill Count;Yes;No;A Smashing Time;Kill a Gargoyle.
General Graardor;General_Graardor; Hard;Kill Count;No;No;General Graardor Adept;Kill General Graardor 50 times.
General Graardor;General_Graardor; Hard;Mechanical;No;No;Ourg Freezer;Kill General Graardor whilst he is immobilized.
General Graardor;General_Graardor; Hard;Mechanical;No;No;General Showdown;Finish off General Graardor whilst all of his bodyguards are dead.
General Graardor;General_Graardor; Elite;Mechanical;No;No;Ourg Freezer II;Kill General Graardor without him attacking any players.
General Graardor;General_Graardor; Elite;Kill Count;No;No;General Graardor Veteran;Kill General Graardor 100 times.
General Graardor;General_Graardor; Grandmaster;Stamina;No;No;Ourg Killer;Kill General Graardor 15 times in a private instance without leaving the room.
General Graardor;General_Graardor; Grandmaster;Perfection;No;No;Defence Matters;Kill General Graardor 2 times consecutively in a private instance without taking any damage from his bodyguards.
General Graardor;General_Graardor; Grandmaster;Perfection;No;No;Keep Away;Kill General Graardor in a private instance without taking any damage from the boss or bodyguards.
Giant Mole;Giant_Mole; Easy;Kill Count;No;No;Giant Mole Novice;Kill the Giant Mole 10 times.
Giant Mole;Giant_Mole; Medium;Kill Count;No;No;Giant Mole Champion;Kill the Giant mole 25 times.
Giant Mole;Giant_Mole; Medium;Perfection;No;No;Avoiding Those Little Arms;Kill the Giant Mole without her damaging anyone.
Giant Mole;Giant_Mole; Hard;Mechanical;No;No;Why Are You Running?;Kill the Giant Mole without her burrowing more than 2 times.
Giant Mole;Giant_Mole; Hard;Mechanical;No;No;Whack-a-Mole;Kill the Giant Mole within 10 seconds of her resurfacing.
Giant Mole;Giant_Mole; Elite;Mechanical;No;No;Hard Hitter;Kill the Giant Mole with 4 or fewer instances of damage.
Glough;Glough; Elite;Speed;No;No;Glough Speed-Trialist;Kill Glough in less than 2 minutes and 30 seconds.
Greater Demon;Greater_demon; Easy;Restriction;No;No;Not So Great After All;Finish off a Greater Demon with a demonbane weapon.
Greater Demon;Greater_demon; Easy;Kill Count;No;No;A Greater Foe;Kill a Greater Demon.
Grotesque Guardians;Grotesque_Guardians; Hard;Mechanical;Yes;No;Granite Footwork;Kill the Grotesque Guardians without taking damage from Dawn's rockfall attack.
Grotesque Guardians;Grotesque_Guardians; Hard;Mechanical;Yes;No;Don't Look at the Eclipse;Kill the Grotesque Guardians without taking damage from Dusk's blinding attack.
Grotesque Guardians;Grotesque_Guardians; Hard;Mechanical;Yes;No;Prison Break;Kill the Grotesque Guardians without taking damage from Dusk's prison attack.
Grotesque Guardians;Grotesque_Guardians; Hard;Mechanical;Yes;No;Heal No More;Kill the Grotesque Guardians without letting Dawn receive any healing from her orbs.
Grotesque Guardians;Grotesque_Guardians; Hard;Mechanical;Yes;No;Static Awareness;Kill the Grotesque Guardians without being hit by any lightning attacks.
Grotesque Guardians;Grotesque_Guardians; Hard;Kill Count;Yes;No;Grotesque Guardians Adept;Kill the Grotesque Guardians 25 times.
Grotesque Guardians;Grotesque_Guardians; Elite;Speed;Yes;No;Grotesque Guardians Speed-Trialist;Kill the Grotesque Guardians in less than 2 minutes.
Grotesque Guardians;Grotesque_Guardians; Elite;Mechanical;Yes;No;Done before Dusk;Kill the Grotesque Guardians before Dusk uses his prison attack for a second time.
Grotesque Guardians;Grotesque_Guardians; Elite;Kill Count;Yes;No;Grotesque Guardians Veteran;Kill the Grotesque Guardians 50 times.
Grotesque Guardians;Grotesque_Guardians; Elite;Stamina;Yes;No;From Dusk...;Kill the Grotesque Guardians 10 times without leaving the instance.
Grotesque Guardians;Grotesque_Guardians; Elite;Perfection;Yes;No;Perfect Grotesque Guardians;"Kill the Grotesque Guardians whilst completing the ""Don't look at the eclipse"", ""Prison Break"", ""Granite Footwork"", ""Heal no more"", ""Static Awareness"" and ""Done before dusk"" tasks."
Grotesque Guardians;Grotesque_Guardians; Master;Perfection;Yes;No;Perfect Grotesque Guardians II;Kill the Grotesque Guardians 5 times in a row without leaving the instance, whilst completing the Perfect Grotesque Guardians task every time.
Grotesque Guardians;Grotesque_Guardians; Master;Stamina;Yes;No;... 'til Dawn;Kill the Grotesque Guardians 20 times without leaving the instance.
Grotesque Guardians;Grotesque_Guardians; Master;Speed;Yes;No;Grotesque Guardians Speed-Chaser;Kill the Grotesque Guardians in less than 1:40 minutes.
Grotesque Guardians;Grotesque_Guardians; Grandmaster;Speed;Yes;No;Grotesque Guardians Speed-Runner;Kill the Grotesque Guardians in less than 1:20 minutes.
Hellhound;Hellhound; Easy;Kill Count;No;No;A Demon's Best Friend;Kill a Hellhound.
Hespori;Hespori; Hard;Kill Count;No;No;Hespori Adept;Kill Hespori 5 times.
Hespori;Hespori; Hard;Mechanical;No;No;Hesporisn't;Finish off Hespori with a special attack.
Hespori;Hespori; Hard;Mechanical;No;No;Weed Whacker;Kill all of Hesporis flowers within 5 seconds.
Hespori;Hespori; Elite;Restriction;No;No;Plant-Based Diet;Kill Hespori without losing any prayer points.
Hespori;Hespori; Elite;Speed;No;No;Hespori Speed-Trialist;Kill the Hespori in less than 48 seconds.
Hespori;Hespori; Master;Speed;No;No;Hespori Speed-Chaser;Kill the Hespori in less than 36 seconds.
Kalphite Queen;Kalphite_Queen; Hard;Kill Count;No;No;Kalphite Queen Adept;Kill the Kalphite Queen 25 times.
Kalphite Queen;Kalphite_Queen; Hard;Mechanical;No;No;Chitin Penetrator;Kill the Kalphite Queen while her defence was last lowered by you.
Kalphite Queen;Kalphite_Queen; Elite;Mechanical;No;No;Insect Deflection;Kill the Kalphite Queen by using the Vengeance spell as the finishing blow.
Kalphite Queen;Kalphite_Queen; Elite;Kill Count;No;No;Kalphite Queen Veteran;Kill the Kalphite Queen 50 times.
Kalphite Queen;Kalphite_Queen; Elite;Restriction;No;No;Prayer Smasher;Kill the Kalphite Queen using only the Verac's Flail as a weapon.
King Black Dragon;King_Black_Dragon; Easy;Kill Count;No;No;King Black Dragon Novice;Kill the King Black Dragon 10 times.
King Black Dragon;King_Black_Dragon; Medium;Mechanical;No;No;Claw Clipper;Kill the King Black Dragon with the Protect from Melee prayer activated.
King Black Dragon;King_Black_Dragon; Medium;Restriction;No;No;Antifire Protection;Kill the King Black Dragon with an antifire potion active and an antidragon shield equipped.
King Black Dragon;King_Black_Dragon; Medium;Kill Count;No;No;King Black Dragon Champion;Kill the King Black Dragon 25 times.
King Black Dragon;King_Black_Dragon; Medium;Restriction;No;No;Hide Penetration;Kill the King Black Dragon with a stab weapon.
King Black Dragon;King_Black_Dragon; Hard;Stamina;No;No;Who Is the King Now?;Kill The King Black Dragon 10 times in a private instance without leaving the instance.
Kraken;Kraken; Hard;Mechanical;Yes;No;Unnecessary Optimisation;Kill the Kraken after killing all four tentacles.
Kraken;Kraken; Hard;Kill Count;Yes;No;Kraken Adept;Kill the Kraken 20 times.
Kraken;Kraken; Hard;Stamina;Yes;No;Krakan't Hurt Me;Kill the Kraken 25 times in a private instance without leaving the room.
Kraken;Kraken; Elite;Stamina;Yes;No;Ten-tacles;Kill the Kraken 50 times in a private instance without leaving the room.
Kraken;Kraken; Master;Stamina;Yes;No;One Hundred Tentacles;Kill the Kraken 100 times in a private instance without leaving the room.
Kree'arra;Kree_arra; Hard;Mechanical;No;No;Airborne Showdown;Finish off Kree'arra whilst all of his bodyguards are dead.
Kree'arra;Kree_arra; Hard;Kill Count;No;No;Kree'arra Adept;Kill Kree'arra 50 times.
Kree'arra;Kree_arra; Elite;Kill Count;No;No;Kree'arra Veteran;Kill Kree'arra 100 times.
Kree'arra;Kree_arra; Master;Mechanical;No;No;Collateral Damage;Kill Kree'arra in a private instance without ever attacking him directly.
Kree'arra;Kree_arra; Master;Perfection;No;No;Swoop No More;Kill Kree'arra in a private instance without taking any melee damage from the boss or his bodyguards.
Kree'arra;Kree_arra; Grandmaster;Stamina;No;No;Feather Hunter;Kill Kree'arra 30 times in a private instance without leaving the room.
Kree'arra;Kree_arra; Grandmaster;Restriction;No;No;The Worst Ranged Weapon;Kill Kree'arra by only dealing damage to him with a salamander.
K'ril Tsutsaroth;Kril_Tsutsaroth; Hard;Mechanical;No;No;Demonic Showdown;Finish off K'ril Tsutsaroth whilst all of his bodyguards are dead.
K'ril Tsutsaroth;Kril_Tsutsaroth; Hard;Restriction;No;No;Demonbane Weaponry II;Finish off K'ril Tsutsaroth with a demonbane weapon.
K'ril Tsutsaroth;Kril_Tsutsaroth; Hard;Mechanical;No;No;Yarr No More;Receive kill-credit for K'ril Tsutsaroth without him using his special attack.
K'ril Tsutsaroth;Kril_Tsutsaroth; Hard;Kill Count;No;No;K'ril Tsutsaroth Adept;Kill K'ril Tsutsaroth 50 times.
K'ril Tsutsaroth;Kril_Tsutsaroth; Elite;Kill Count;No;No;K'ril Tsutsaroth Veteran;Kill K'ril Tsutsaroth 100 times.
K'ril Tsutsaroth;Kril_Tsutsaroth; Elite;Perfection;No;No;Demonic Defence;Kill K'ril Tsutsaroth in a private instance without taking any of his melee hits.
K'ril Tsutsaroth;Kril_Tsutsaroth; Elite;Mechanical;No;No;The Bane of Demons;Defeat K'ril Tsutsaroth in a private instance using only demonbane spells.
K'ril Tsutsaroth;Kril_Tsutsaroth; Grandmaster;Stamina;No;No;Ash Collector;Kill K'ril Tsutsaroth 20 times in a private instance without leaving the room.
K'ril Tsutsaroth;Kril_Tsutsaroth; Grandmaster;Perfection;No;No;Demon Whisperer;Kill K'ril Tsutsaroth in a private instance without ever being hit by his bodyguards.
Kurask;Kurask; Medium;Kill Count;Yes;No;Master of Broad Weaponry;Kill a Kurask.
Leviathan;The_Leviathan; Elite;Speed;No;No;Leviathan Speed-Trialist;Kill the Leviathan in less than 1:50 without a slayer task.
Leviathan;The_Leviathan; Elite;Kill Count;No;No;Leviathan Adept;Kill the Leviathan once.
Leviathan;The_Leviathan; Master;Speed;No;No;Leviathan Speed-Chaser;Kill the Leviathan in less than 1:25 without a slayer task.
Leviathan;The_Leviathan; Master;Perfection;No;No;Perfect Leviathan;Kill the Leviathan perfectly 5 times without leaving.
Leviathan;The_Leviathan; Master;Mechanical;No;No;Serpentine Solo;Kill the Leviathan without stunning the boss more than once.
Leviathan;The_Leviathan; Master;Kill Count;No;No;Leviathan Master;Kill the Leviathan 50 times.
Leviathan;The_Leviathan; Grandmaster;Speed;No;No;Leviathan Speed-Runner;Kill the Leviathan in less than 1:10 without a slayer task.
Leviathan;The_Leviathan; Grandmaster;Kill Count;No;No;Leviathan Sleeper;Kill the Awakened Leviathan.
Leviathan;The_Leviathan; Grandmaster;Restriction;No;No;Unconventional;Kill the Leviathan using only Mithril ammunition whilst having no more than 25 Hitpoints throughout the entire fight.
Lizardman Shaman;Lizardman_shaman; Easy;Kill Count;No;No;A Scaley Encounter;Kill a Lizardman Shaman.
Lizardman Shaman;Lizardman_shaman; Easy;Perfection;No;No;Shayzien Protector;Kill a Lizardman Shaman in Molch which has not dealt damage to anyone (excluding its Spawns).
Moons of Peril;Moons_of_peril; Medium;Kill Count;No;No;Perilous Novice;Open the Reward Chest 5 times.
Moons of Peril;Moons_of_peril; Medium;Kill Count;No;No;Lunar Triplet;Open the Reward Chest after defeating all three Moons.
Moons of Peril;Moons_of_peril; Medium;Speed;No;No;Moons of Peril Speed-Trialist;Defeat all three Moons in one run in under 8 minutes.
Moons of Peril;Moons_of_peril; Medium;Restriction;No;No;Back to Our Roots;Defeat all three Moons in one run by only attacking with a Dragon Scimitar.
Moons of Peril;Moons_of_peril; Hard;Restriction;No;No;Betrayal;Defeat a Moon using its associated weapon drop.
Moons of Peril;Moons_of_peril; Hard;Speed;No;No;Moons of Peril Speed-Chaser;Defeat all three Moons in one run in under 6 minutes.
Moons of Peril;Moons_of_peril; Hard;Restriction;No;No;Fortified;Defeat a Moon without consuming any supplies.
Moons of Peril;Moons_of_peril; Hard;Stamina;No;No;Fat of the Land;Defeat 30 Moons of Peril bosses without leaving the dungeon.
Moons of Peril;Moons_of_peril; Hard;Kill Count;No;No;Perilous Champion;Open the Reward Chest 25 times.
Moons of Peril;Moons_of_peril; Hard;Perfection;No;No;Perilous Dancer;Defeat all the Moons in one run while only taking damage from regular attacks.
Moons of Peril;Moons_of_peril; Hard;Mechanical;No;No;The Clone Zone;Defeat the Eclipse moon by only attacking its clones.
Moons of Peril;Moons_of_peril; Elite;Mechanical;No;No;High Hitter;Defeat a Moon before they start their second special attack.
Nex;Nex; Elite;Restriction;No;No;Nex Survivors;Kill Nex without anyone dying.
Nex;Nex; Elite;Kill Count;No;No;Nex Veteran;Kill Nex once.
Nex;Nex; Master;Kill Count;No;No;Nex Master;Kill Nex 25 times.
Nex;Nex; Master;Restriction;No;Yes;Nex Trio;Kill Nex with three or less players at the start of the fight.
Nex;Nex; Master;Mechanical;No;No;Shadows Move...;Kill Nex without anyone being hit by the Shadow Smash attack.
Nex;Nex; Master;Mechanical;No;No;Contain this!;Kill Nex without anyone taking damage from any Ice special attack.
Nex;Nex; Master;Mechanical;No;No;A siphon will solve this;Kill Nex without letting her heal from her Blood Siphon special attack.
Nex;Nex; Master;Mechanical;No;No;There is no escape!;Kill Nex without anyone being hit by the Smoke Dash special attack.
Nex;Nex; Grandmaster;Restriction;No;Yes;Nex Duo;Kill Nex with two or less players at the start of the fight.
Nex;Nex; Grandmaster;Perfection;No;No;Perfect Nex;"Kill Nex whilst completing the requirements for ""There is no escape"", ""Shadows move"", ""A siphon will solve this"", and ""Contain this!"""
Nex;Nex; Grandmaster;Restriction;No;Yes;I should see a doctor;Kill Nex whilst a player is coughing.
Obor;Obor; Easy;Restriction;No;No;Fighting as Intended;Kill Obor on a free to play world.
Obor;Obor; Easy;Kill Count;No;No;Obor Novice;Open Obor's chest once.
Obor;Obor; Easy;Mechanical;No;No;Sleeping Giant;Kill Obor whilst he is immobilized.
Obor;Obor; Medium;Perfection;No;No;Squashing the Giant;Kill Obor without taking any damage off prayer.
Obor;Obor; Medium;Kill Count;No;No;Obor Champion;Open Obor's chest 5 times.
Obor;Obor; Medium;Mechanical;No;No;Back to the Wall;Kill Obor without being pushed back more than one square by his knockback attack.
Phantom Muspah;Phantom_Muspah; Hard;Kill Count;No;No;Phantom Muspah Adept;Kill the Phantom Muspah.
Phantom Muspah;Phantom_Muspah; Elite;Restriction;No;No;Can't Escape;Kill the Phantom Muspah without running.
Phantom Muspah;Phantom_Muspah; Elite;Kill Count;No;No;Phantom Muspah Veteran;Kill the Phantom Muspah 25 times.
Phantom Muspah;Phantom_Muspah; Elite;Mechanical;No;No;Versatile Drainer;Drain the Phantom Muspah's Prayer with three different sources in one kill.
Phantom Muspah;Phantom_Muspah; Elite;Speed;No;No;Phantom Muspah Speed-Trialist;Kill the Phantom Muspah in less than 3 minutes without a slayer task.
Phantom Muspah;Phantom_Muspah; Master;Perfection;No;No;Walk Straight Pray True;Kill the Phantom Muspah without taking any avoidable damage.
Phantom Muspah;Phantom_Muspah; Master;Speed;No;No;Phantom Muspah Speed-Chaser;Kill the Phantom Muspah in less than 2 minutes without a slayer task.
Phantom Muspah;Phantom_Muspah; Master;Stamina;No;No;Essence Farmer;Kill the Phantom Muspah 10 times in one trip.
Phantom Muspah;Phantom_Muspah; Master;Restriction;No;No;More than just a ranged weapon;Kill the Phantom Muspah by only dealing damage to it with a salamander.
Phantom Muspah;Phantom_Muspah; Master;Mechanical;No;No;Space is Tight;Kill the Phantom Muspah whilst it is surrounded by spikes.
Phantom Muspah;Phantom_Muspah; Master;Kill Count;No;No;Phantom Muspah Master;Kill the Phantom Muspah 50 times.
Phantom Muspah;Phantom_Muspah; Grandmaster;Perfection;No;No;Phantom Muspah Manipulator;Kill the Phantom Muspah whilst completing Walk Straight Pray True, Space is Tight & Can't Escape.
Phantom Muspah;Phantom_Muspah; Grandmaster;Speed;No;No;Phantom Muspah Speed-Runner;Kill the Phantom Muspah in less than 1 minute and 30 seconds without a slayer task.
Phosani's Nightmare;The_Nightmare; Elite;Kill Count;No;No;Phosani's Veteran;Kill Phosani's Nightmare once.
Phosani's Nightmare;The_Nightmare; Master;Mechanical;No;No;Crush Hour;Kill Phosani's Nightmare while killing every parasite and husk in one hit.
Phosani's Nightmare;The_Nightmare; Master;Speed;No;No;Phosani's Speedchaser;Kill Phosani's Nightmare within 7 minutes and 30 seconds
Phosani's Nightmare;The_Nightmare; Master;Kill Count;No;No;Phosani's Master;Kill Phosani's Nightmare 5 times.
Phosani's Nightmare;The_Nightmare; Master;Mechanical;No;No;Dreamland Express;Kill Phosani's Nightmare without a sleepwalker reaching her during her desperation phase.
Phosani's Nightmare;The_Nightmare; Master;Mechanical;No;No;I Would Simply React;Kill Phosani's Nightmare without allowing your prayer to be disabled.
Phosani's Nightmare;The_Nightmare; Grandmaster;Speed;No;No;Phosani's Speedrunner;Kill Phosani's Nightmare within 6 minutes.
Phosani's Nightmare;The_Nightmare; Grandmaster;Perfection;No;No;Perfect Phosani's Nightmare;Kill Phosani's Nightmare while only taking damage from husks, power blasts and weakened Parasites. Also, without having your attacks slowed by the Nightmare Spores or letting a Sleepwalker reach Phosani's Nightmare.
Phosani's Nightmare;The_Nightmare; Grandmaster;Kill Count;No;No;Phosani's Grandmaster;Kill Phosani's Nightmare 25 times.
Phosani's Nightmare;The_Nightmare; Grandmaster;Stamina;No;No;Can't Wake Up;Kill Phosani's Nightmare 5 times in a row without leaving Phosani's Dream.
Royal Titans;Royal_titans; Easy;Restriction;No;No;One by one;Kill one Titan at a time, without attacking the other.
Royal Titans;Royal_titans; Easy;Restriction;No;No;Elemental Company;Kill the Royal Titans without attacking any elementals.
Royal Titans;Royal_titans; Easy;Restriction;No;No;Let them fight;Kill the Royal Titans while having the Royal Titans kill a total of 10 elementals.
Royal Titans;Royal_titans; Medium;Kill Count;No;No;Royal Titan Adept;Kill the Royal Titans 25 times.
Royal Titans;Royal_titans; Medium;Mechanical;No;No;It takes too long;Kill both Royal Titans while they are charging up their area attack. Both titans must die during the same charging phase.
Royal Titans;Royal_titans; Medium;Kill Count;No;No;Royal Titan Champion;Kill the Royal Titans 10 times.
Royal Titans;Royal_titans; Hard;Perfection;No;No;Perfect Royal Titans;Kill the Royal Titans without getting hit by any avoidable damage. This includes: Melee attacks, Explosions from the ice or fire elemental, Icicle or fire spawn damage, and Ice or fire pulse attacks.
Royal Titans;Royal_titans; Hard;Speed;No;No;Royal Titan Speed-Runner;Kill the Royal Titans in less than 1:30 minutes.
Royal Titans;Royal_titans; Hard;Stamina;No;No;Titan Killer;Kill the Royal Titans 15 times without anyone leaving the instance. If a player joins the fight, the current streak will be reset to 0. If a player leaves the fight, the task will be failed and a new instance will need to be created.
Royal Titans;Royal_titans; Hard;Restriction;No;No;I need room;Kill the Royal Titans while extinguishing all fires and melting all icicles before they dissipate naturally.
Royal Titans;Royal_titans; Elite;Restriction;No;No;No time to pray;Kill the Royal Titans without losing any prayer points.
Sarachnis;Sarachnis; Easy;Kill Count;No;No;Sarachnis Novice;Kill Sarachnis 10 times.
Sarachnis;Sarachnis; Medium;Kill Count;No;No;Sarachnis Champion;Kill Sarachnis 25 times.
Sarachnis;Sarachnis; Medium;Restriction;No;No;Newspaper Enthusiast;Kill Sarachnis with a crush weapon.
Sarachnis;Sarachnis; Hard;Perfection;No;No;Inspect Repellent;Kill Sarachnis without her dealing damage to anyone.
Sarachnis;Sarachnis; Hard;Mechanical;No;No;Ready to Pounce;Kill Sarachnis without her using her range attack twice in a row.
Scorpia;Scorpia; Hard;Perfection;No;No;I Can't Reach That;Kill Scorpia without taking any damage from her.
Scorpia;Scorpia; Hard;Kill Count;No;No;Scorpia Adept;Kill Scorpia 10 times.
Scorpia;Scorpia; Hard;Restriction;No;No;Guardians No More;Kill Scorpia without killing her guardians.
Scorpia;Scorpia; Elite;Kill Count;No;No;Scorpia Veteran;Kill Scorpia 25 times.
Scurrius;Scurrius; Easy;Kill Count;No;No;Scurrius Novice;Kill Scurrius once.
Scurrius;Scurrius; Easy;Restriction;No;No;Sit Rat;Finish off Scurrius with a ratbane weapon in a private instance.
Scurrius;Scurrius; Medium;Mechanical;No;No;Efficient Pest Control;Kill 6 Giant Rats within Scurrius' lair in 3 seconds.
Scurrius;Scurrius; Medium;Perfection;No;No;Perfect Scurrius;Kill Scurrius in a private instance without taking damage from the following attacks: Tail Swipe and Falling Bricks. Pray correctly against the following attacks: Flying Fur and Bolts of Electricity.
Scurrius;Scurrius; Medium;Kill Count;No;No;Scurrius Champion;Kill Scurrius 10 times.
Shellbane gryphon;Shellbane_gryphon; Easy;Mechanical;Yes;No;Dry Cleaning;Kill the Shellbane Gryphon after clearing its corrosive spit from your armour.
Shellbane gryphon;Shellbane_gryphon; Easy;Kill Count;Yes;No;Shellbane Adept;Kill the Shellbane Gryphon 25 times.
Shellbane gryphon;Shellbane_gryphon; Medium;Speed;Yes;No;Shellbane Speedrunner;Kill the Shellbane Gryphon 10 times within 12:30 minutes of entering the cave.
Shellbane gryphon;Shellbane_gryphon; Medium;Perfection;Yes;No;Perfect Shellbane;Kill the Shellbane Gryphon without taking damage.
Shellbane gryphon;Shellbane_gryphon; Medium;Kill Count;Yes;No;Shellbane Veteran;Kill the Shellbane Gryphon 50 times.
Shellbane gryphon;Shellbane_gryphon; Hard;Stamina;Yes;No;Shellbane Survivor;Kill the Shellbane Gryphon 25 times without leaving the cave.
Shellbane gryphon;Shellbane_gryphon; Hard;Restriction;Yes;No;Featherweight Fighter;Kill the Shellbane Gryphon 5 times without leaving the cave, while wearing gear weighing less than 40kg.
Skeletal Wyvern;Skeletal_Wyvern; Medium;Kill Count;Yes;No;A Frozen Foe from the Past;Kill a Skeletal Wyvern
Skotizo;Skotizo; Medium;Restriction;No;No;Demonbane Weaponry;Kill Skotizo with a demonbane weapon equipped.
Skotizo;Skotizo; Medium;Kill Count;No;No;Skotizo Champion;Kill Skotizo once.
Skotizo;Skotizo; Medium;Mechanical;No;No;Demonic Weakening;Kill Skotizo with no altars active.
Skotizo;Skotizo; Hard;Kill Count;No;No;Skotizo Adept;Kill Skotizo 5 times.
Skotizo;Skotizo; Elite;Restriction;No;No;Up for the Challenge;Kill Skotizo without equipping a demonbane weapon.
Skotizo;Skotizo; Elite;Perfection;No;No;Demon Evasion;Kill Skotizo without taking any damage.
Skotizo;Skotizo; Master;Restriction;No;No;Precise Positioning;Kill Skotizo with the final source of damage being a Chinchompa explosion.
Tempoross;Tempoross; Easy;Kill Count;No;No;Tempoross Novice;Subdue Tempoross 5 times.
Tempoross;Tempoross; Easy;Mechanical;No;No;Master of Buckets;Extinguish at least 5 fires during a single Tempoross fight.
Tempoross;Tempoross; Easy;Mechanical;No;No;Calm Before the Storm;Repair either a mast or a totem pole.
Tempoross;Tempoross; Easy;Mechanical;No;No;Fire in the Hole!;Attack Tempoross from both sides by loading both cannons on both ships.
Tempoross;Tempoross; Medium;Perfection;No;No;The Lone Angler;Subdue Tempoross alone without getting hit by any fires, torrents or waves.
Tempoross;Tempoross; Medium;Kill Count;No;No;Tempoross Champion;Subdue Tempoross 10 times.
Tempoross;Tempoross; Hard;Restriction;No;No;Dress Like You Mean It;Subdue Tempoross while wearing any variation of the angler outfit.
Tempoross;Tempoross; Hard;Mechanical;No;No;Why Cook?;Subdue Tempoross, getting rewarded with 10 reward permits from a single Tempoross fight.
The Hueycoatl;The_Hueycoatl; Medium;Kill Count;No;No;Hueycoatl Champion;Kill the Hueycoatl once.
The Hueycoatl;The_Hueycoatl; Medium;Restriction;No;No;You're a wizard;Kill the Hueycoatl using only earth spells.
The Hueycoatl;The_Hueycoatl; Hard;Restriction;No;No;I'm your son;Kill the Hueycoatl whilst wearing two pieces of Hueycoatl armour.
The Hueycoatl;The_Hueycoatl; Hard;Mechanical;No;No;Pillar Lover;Kill the Hueycoatl whilst it is vulnerable.
The Hueycoatl;The_Hueycoatl; Hard;Kill Count;No;No;Hueycoatl Adept;Kill the Hueycoatl 10 times.
The Hueycoatl;The_Hueycoatl; Elite;Kill Count;No;No;Hueycoatl Veteran;Kill the Hueycoatl 25 times.
The Hueycoatl;The_Hueycoatl; Elite;Speed;No;No;Hueycoatl Speed-Trialist;Kill the Hueycoatl in 2:30
